PassengerId	Survived	Pclass	Sex	Age	SibSp	Parch	Ticket	Fare	Cabin	Embarked
1	0	3	male	22.0	1	0	A/5 21171	7.25	Nothing	S #dfafdad
2	1	1	female	38.0	1	0	PC 17599#to	71.2833	C85	C
3	1	3	female	26.0	0	0	STON/O2. 3101282	7.925		S
4	1	1	female	35.0	1	0	113803	53.1	C123	S
5	0	3	male	35.0	0	0	373450	8.05		S
6	0	3	male		0	0	330877	8.4583		Q
7	0	1	male	54.0	0	0	17463	51.8625	E46	S
8	0	3	male	2.0	3	1	349909	21.075		S
9	1	3	female	27.0	0	2	347742	11.1333		S
10	1	2	female	14.0	1	0	237736	30.0708		C
11	1	3	female	4.0	1	1	PP 9549	16.7	G6	S
12	1	1	female	58.0	0	0	113783	26.55	C103	S
13	0	3	male	20.0	0	0	A/5. 2151	8.05		S
14	0	3	male	39.0	1	5	347082	31.275		S
15	0	3	female	14.0	0	0	350406	7.8542		S
16	1	2	female	55.0	0	0	248706	16.0		S
17	0	3	male	2.0	4	1	382652	29.125		Q
18	1	2	male		0	0	244373	13.0		S
19	0	3	female	31.0	1	0	345763	18.0		S
20	1	3	female		0	0	2649	7.225		C
21	0	2	male	35.0	0	0	239865	26.0		S
22	1	2	male	34.0	0	0	248698	13.0	D56	S
23	1	3	female	15.0	0	0	330923	8.0292		Q
24	1	1	male	28.0	0	0	113788	35.5	A6	S
25	0	3	female	8.0	3	1	349909	21.075		S
26	1	3	female	38.0	1	5	347077	31.3875		S
27	0	3	male		0	0	2631	7.225		C
28	0	1	male	19.0	3	2	19950	263.0	C23 C25 C27	S
29	1	3	female		0	0	330959	7.8792		Q
30	0	3	male		0	0	349216	7.8958		S
31	0	1	male	40.0	0	0	PC 17601	27.7208		C
32	1	1	female		1	0	PC 17569	146.5208	B78	C
33	1	3	female		0	0	335677	7.75		Q
34	0	2	male	66.0	0	0	C.A. 24579	10.5		S
35	0	1	male	28.0	1	0	PC 17604	82.1708		C
36	0	1	male	42.0	1	0	113789	52.0		S
37	1	3	male		0	0	2677	7.2292		C
38	0	3	male	21.0	0	0	A./5. 2152	8.05		S
39	0	3	female	18.0	2	0	345764	18.0		S
40	1	3	female	14.0	1	0	2651	11.2417		C
41	0	3	female	40.0	1	0	7546	9.475		S
42	0	2	female	27.0	1	0	11668	21.0		S
43	0	3	male		0	0	349253	7.8958		C
44	1	2	female	3.0	1	2	SC/Paris 2123	41.5792		C
45	1	3	female	19.0	0	0	330958	7.8792		Q
46	0	3	male		0	0	S.C./A.4. 23567	8.05		S
47	0	3	male		1	0	370371	15.5		Q
48	1	3	female		0	0	14311	7.75		Q
49	0	3	male		2	0	2662	21.6792		C
50	0	3	female	18.0	1	0	349237	17.8		S
51	0	3	male	7.0	4	1	3101295	39.6875		S
52	0	3	male	21.0	0	0	A/4. 39886	7.8		S
53	1	1	female	49.0	1	0	PC 17572	76.7292	D33	C
54	1	2	female	29.0	1	0	2926	26.0		S
55	0	1	male	65.0	0	1	113509	61.9792	B30	C
56	1	1	male		0	0	19947	35.5	C52	S
57	1	2	female	21.0	0	0	C.A. 31026	10.5		S
58	0	3	male	28.5	0	0	2697	7.2292		C
59	1	2	female	5.0	1	2	C.A. 34651	27.75		S
60	0	3	male	11.0	5	2	CA 2144	46.9		S
61	0	3	male	22.0	0	0	2669	7.2292		C
62	1	1	female	38.0	0	0	113572	80.0	B28
63	0	1	male	45.0	1	0	36973	83.475	C83	S
